id,text,pos,lemma,level,sense,type
322,དྲན,NULL,NULL,2,NULL,1
323,རྒྱུགས,NULL,NULL,2,NULL,1
324,ཁྱེར,NULL,NULL,2,NULL,1
325,གནས,NULL,NULL,2,NULL,1
326,ལག་པ,NULL,NULL,2,NULL,1
327,སྔོན,NULL,NULL,2,NULL,1
328,བྲིས,NULL,NULL,2,NULL,1
329,ཚང,NULL,NULL,2,NULL,1
330,ནང་ལོགས,NULL,NULL,2,NULL,1
331,ཡོད་དུས,NULL,NULL,2,NULL,1
332,བལྟས,NULL,NULL,2,NULL,1
333,དཔེ་ཆ,NULL,NULL,2,NULL,1
334,ཡ་ཡ,NULL,NULL,2,NULL,1
335,བླངས,NULL,NULL,2,NULL,1
336,ཡིན་དུས,NULL,NULL,2,NULL,1
337,རེ་རེ,NULL,NULL,2,NULL,1
338,རྒན་པ,NULL,NULL,2,NULL,1
339,དགོས་ན,NULL,NULL,2,NULL,1
340,ནམ,NULL,NULL,2,NULL,1
341,བེད་སྤྱོད,NULL,NULL,2,NULL,1
342,འགྲོ་ཡ,NULL,NULL,2,NULL,1
343,གསེར,NULL,NULL,2,NULL,1
344,དཀའ་ངལ,NULL,NULL,2,NULL,1
345,བོད་ཡིག,NULL,NULL,2,NULL,1
346,འགྲོ་བ,NULL,NULL,2,NULL,1
347,གོང,NULL,NULL,2,NULL,1
348,ངེད་གཉིས,NULL,NULL,2,NULL,1
349,ཞུ,NULL,NULL,2,NULL,1
350,ལ་སོགས་པ,NULL,NULL,2,NULL,1
351,དེ་ནི,NULL,NULL,2,NULL,1
352,བྲོས,NULL,NULL,2,NULL,1
353,གྲོགས་པོ,NULL,NULL,2,NULL,1
354,ལུས,NULL,NULL,2,NULL,1
355,ཡི་གེ,NULL,NULL,2,NULL,1
356,བཏོན,NULL,NULL,2,NULL,1
357,བསམ་པ,NULL,NULL,2,NULL,1
358,འདུག་པ,NULL,NULL,2,NULL,1
359,སངས་རྒྱས,NULL,NULL,2,NULL,1
360,དགོས་ཡ,NULL,NULL,2,NULL,1
361,བཞི,NULL,NULL,2,NULL,1
362,ཤོར,NULL,NULL,2,NULL,1
363,རིམ་པ,NULL,NULL,2,NULL,1
